Date	Team	Opponent	Game	Result	Score	ATS	Spread	OU	Total	
14-Sep-24	Tennessee	vs Kent State	REG	W	71-0	W	-49.5	O	62.5	
21-Sep-24	Tennessee	@ Oklahoma	REG	W	25-15	W	-5.5	U	57	
5-Oct-24	Tennessee	@ Arkansas	REG	L	19-14	L	-14	U	57.5	
12-Oct-24	Tennessee	vs Florida	REG	W	23-17	L	-14.5	U	55.5	
19-Oct-24	Tennessee	vs Alabama	REG	W	24-17	W	3.5	U	57.5	
2-Nov-24	Tennessee	vs Kentucky	REG	W	28-18	L	-17.5	O	45.5	
9-Nov-24	Tennessee	vs Mississippi State	REG	W	33-14	L	-25.5	U	61.5	
16-Nov-24	Tennessee	@ Georgia	REG	L	31-17	L	8.5	O	46.5	
23-Nov-24	Tennessee	vs Texas El Paso	REG	W	56-0	W	-41.5	O	54.5	
30-Nov-24	Tennessee	@ Vanderbilt	REG	W	36-23	W	-9.5	O	47	
21-Dec-24	Tennessee	@ Ohio State	PST	L	42-17	L	7.5	O	47	
2-Sep-23	Tennessee	vs Virginia	REG	W	49-13	W	-27.5	O	55.5	
9-Sep-23	Tennessee	vs Austin Peay	REG	W	30-13	L	-48.5	U	65.5	
16-Sep-23	Tennessee	@ Florida	REG	L	29-16	L	-5.5	U	56.5	
23-Sep-23	Tennessee	vs Texas-San Antonio	REG	W	45-14	W	-24	U	59.5	
30-Sep-23	Tennessee	vs South Carolina	REG	W	41-20	W	-12	O	60	
14-Oct-23	Tennessee	vs Texas A&M	REG	W	20-13	W	-3	U	54.5	
21-Oct-23	Tennessee	@ Alabama	REG	L	34-20	L	8.5	O	47	
28-Oct-23	Tennessee	@ Kentucky	REG	W	33-27	W	-4	O	50	
4-Nov-23	Tennessee	vs Connecticut	REG	W	59-3	W	-35	O	55	
11-Nov-23	Tennessee	@ Missouri	REG	L	36-7	L	-2	U	59	
18-Nov-23	Tennessee	vs Georgia	REG	L	38-10	L	9	U	59	
25-Nov-23	Tennessee	vs Vanderbilt	REG	W	48-24	L	-27	O	57.5	
1-Jan-24	Tennessee	vs Iowa	PST	W	35-0	W	-5	U	37	
31-Aug-24	Texas A&M	vs Notre Dame	REG	L	23-13	L	-3	U	47	
7-Sep-24	Texas A&M	vs McNeese State	REG	W	52-10	L	-47.5	O	57	
14-Sep-24	Texas A&M	@ Florida	REG	W	33-20	W	-3	O	45.5	
21-Sep-24	Texas A&M	vs Bowling Green	REG	W	26-20	L	-20.5	U	50.5	
28-Sep-24	Texas A&M	vs Arkansas	REG	W	21-17	L	-5.5	U	50.5	
5-Oct-24	Texas A&M	vs Missouri	REG	W	41-10	W	-2.5	O	47.5	
19-Oct-24	Texas A&M	@ Mississippi State	REG	W	34-24	L	-21	O	55.5	
26-Oct-24	Texas A&M	vs Louisiana State	REG	W	38-23	W	-1.5	O	54.5	
2-Nov-24	Texas A&M	@ South Carolina	REG	L	44-20	L	-3	O	43.5	
16-Nov-24	Texas A&M	vs New Mexico State	REG	W	38-3	L	-38.5	U	54.5	
23-Nov-24	Texas A&M	@ Auburn	REG	L	43-41	L	-2.5	O	47.5	
30-Nov-24	Texas A&M	vs Texas	REG	L	17-7	L	4.5	U	50.5	
27-Dec-24	Texas A&M	@ Southern California	PST	L	35-31	L	-3.5	O	56.5	
2-Sep-23	Texas A&M	vs New Mexico	REG	W	52-10	W	-38	O	49.5	
9-Sep-23	Texas A&M	@ Miami-FL	REG	L	48-33	L	-2.5	O	50	
16-Sep-23	Texas A&M	vs Louisiana-Monroe	REG	W	47-3	W	-36.5	U	53.5	
23-Sep-23	Texas A&M	vs Auburn	REG	W	27-10	W	-9.5	U	51.5	
30-Sep-23	Texas A&M	@ Arkansas	REG	W	34-22	W	-6.5	O	53.5	
7-Oct-23	Texas A&M	vs Alabama	REG	L	26-20	L	2.5	O	45	
14-Oct-23	Texas A&M	@ Tennessee	REG	L	20-13	L	3	U	54.5	
28-Oct-23	Texas A&M	vs South Carolina	REG	W	30-17	L	-17	U	51.5	
4-Nov-23	Texas A&M	@ Mississippi	REG	L	38-35	P	3	O	51.5	
11-Nov-23	Texas A&M	vs Mississippi State	REG	W	51-10	W	-16.5	O	40.5	
18-Nov-23	Texas A&M	vs Abilene Christian	REG	W	38-10	L	-41.5	U	54	
25-Nov-23	Texas A&M	@ Louisiana State	REG	L	42-30	L	11	O	67	
27-Dec-23	Texas A&M	@ Oklahoma State	PST	L	31-23	L	4	U	56	
31-Aug-24	Texas	vs Colorado State	REG	W	52-0	W	-35	U	62.5	
7-Sep-24	Texas	@ Michigan	REG	W	31-12	W	-6.5	O	42	
14-Sep-24	Texas	vs Texas-San Antonio	REG	W	56-7	W	-35.5	O	55.5	
21-Sep-24	Texas	vs Louisiana-Monroe	REG	W	51-3	W	-43.5	O	53.5	
28-Sep-24	Texas	vs Mississippi State	REG	W	35-13	L	-37.5	U	58.5	
12-Oct-24	Texas	@ Oklahoma	REG	W	34-3	W	-17	U	49	
19-Oct-24	Texas	vs Georgia	REG	L	30-15	L	-4	U	57	
26-Oct-24	Texas	@ Vanderbilt	REG	W	27-24	L	-17	U	51.5	
9-Nov-24	Texas	vs Florida	REG	W	49-17	W	-23	O	48.5	
16-Nov-24	Texas	@ Arkansas	REG	W	20-10	L	-13.5	U	56.5	
23-Nov-24	Texas	vs Kentucky	REG	W	31-14	L	-18.5	U	46.5	
30-Nov-24	Texas	@ Texas A&M	REG	W	17-7	W	-4.5	U	50.5	
7-Dec-24	Texas	vs Georgia	REG	L	22-19	L	-3	U	51	
21-Dec-24	Texas	vs Clemson	PST	W	38-24	W	-13.5	O	49.5	
1-Jan-25	Texas	@ Arizona State	PST	W	39-31	L	-13.5	O	52	
10-Jan-25	Texas	vs Ohio State	PST	L	28-14	L	6	U	51.5	
2-Sep-23	Texas	vs Rice	REG	W	37-10	L	-35.5	U	59	
9-Sep-23	Texas	@ Alabama	REG	W	34-24	W	7	O	53.5	
16-Sep-23	Texas	vs Wyoming	REG	W	31-10	L	-30.5	U	48.5	
23-Sep-23	Texas	@ Baylor	REG	W	38-6	W	-17.5	U	49	
30-Sep-23	Texas	vs Kansas	REG	W	40-14	W	-15.5	U	60.5	
7-Oct-23	Texas	vs Oklahoma	REG	L	34-30	L	-4	O	61.5	
21-Oct-23	Texas	@ Houston	REG	W	31-24	L	-23.5	U	60.5	
28-Oct-23	Texas	vs Brigham Young	REG	W	35-6	W	-20.5	U	49.5	
4-Nov-23	Texas	vs Kansas State	REG	W	33-30	L	-3.5	O	50	
11-Nov-23	Texas	@ Texas Christian	REG	W	29-26	L	-13	U	56	
18-Nov-23	Texas	@ Iowa State	REG	W	26-16	W	-7	U	44.5	
24-Nov-23	Texas	vs Texas Tech	REG	W	57-7	W	-15.5	O	53.5	
2-Dec-23	Texas	vs Oklahoma State	REG	W	49-21	W	-14.5	O	57.5	
1-Jan-24	Texas	@ Washington	PST	L	37-31	L	-3.5	O	61.5	
31-Aug-24	Texas State	vs Lamar	REG	W	34-27	L	-33.5	U	61.5	
7-Sep-24	Texas State	vs Texas-San Antonio	REG	W	49-10	W	-2.5	O	58.5	
12-Sep-24	Texas State	vs Arizona State	REG	L	31-28	L	-3	U	59.5	
28-Sep-24	Texas State	@ Sam Houston State	REG	L	40-39	L	-10.5	O	55.5	
3-Oct-24	Texas State	@ Troy	REG	W	38-17	W	-14	U	56	
12-Oct-24	Texas State	vs Arkansas State	REG	W	41-9	W	-13.5	U	66	
19-Oct-24	Texas State	@ Old Dominion	REG	L	24-14	L	-10.5	U	60.5	
29-Oct-24	Texas State	vs Louisiana-Lafayette	REG	L	23-17	L	-4.5	U	60.5	
9-Nov-24	Texas State	@ Louisiana-Monroe	REG	W	38-17	W	-9.5	O	50	
16-Nov-24	Texas State	vs Southern Miss	REG	W	58-3	W	-27.5	O	56.5	
23-Nov-24	Texas State	vs Georgia State	REG	L	52-44	L	-22.5	O	59.5	
29-Nov-24	Texas State	@ South Alabama	REG	W	45-38	W	-2.5	O	61	
3-Jan-25	Texas State	vs North Texas	PST	W	30-28	L	-15.5	U	66.5	
2-Sep-23	Texas State	@ Baylor	REG	W	42-31	W	27	O	59	
9-Sep-23	Texas State	@ Texas-San Antonio	REG	L	20-13	W	14	U	66	
16-Sep-23	Texas State	vs Jackson State	REG	W	77-34	W	-18.5	O	61.5	
23-Sep-23	Texas State	vs Nevada	REG	W	35-24	L	-17	U	59.5	
30-Sep-23	Texas State	@ Southern Miss	REG	W	50-36	W	-6.5	O	60.5	
7-Oct-23	Texas State	@ Louisiana-Lafayette	REG	L	34-30	L	1	U	66.5	
14-Oct-23	Texas State	vs Louisiana-Monroe	REG	W	21-20	L	-18.5	U	64	
28-Oct-23	Texas State	vs Troy	REG	L	31-13	L	6.5	U	53	
4-Nov-23	Texas State	vs Georgia Southern	REG	W	45-24	W	-2.5	P	69	
11-Nov-23	Texas State	@ Coastal Carolina	REG	L	31-23	L	-2.5	U	55	
18-Nov-23	Texas State	@ Arkansas State	REG	L	77-31	L	-3	O	59.5	
25-Nov-23	Texas State	vs South Alabama	REG	W	52-44	W	6	O	57	
26-Dec-23	Texas State	@ Rice	PST	W	45-21	W	-3.5	O	58.5	
31-Aug-24	Texas Tech	vs Abilene Christian	REG	W	52-51	L	-31.5	O	57.5	
7-Sep-24	Texas Tech	@ Washington State	REG	L	37-16	L	-2.5	U	65.5	
14-Sep-24	Texas Tech	vs North Texas	REG	W	66-21	W	-10.5	O	70.5	
21-Sep-24	Texas Tech	vs Arizona State	REG	W	30-22	W	-4.5	U	58.5	
28-Sep-24	Texas Tech	vs Cincinnati	REG	W	44-41	P	-3	O	59.5	
5-Oct-24	Texas Tech	@ Arizona	REG	W	28-22	W	6	U	63.5	
19-Oct-24	Texas Tech	vs Baylor	REG	L	59-35	L	-4.5	O	56	
26-Oct-24	Texas Tech	@ Texas Christian	REG	L	35-34	W	5	O	66.5	
2-Nov-24	Texas Tech	@ Iowa State	REG	W	23-22	W	13.5	U	56	
9-Nov-24	Texas Tech	vs Colorado	REG	L	41-27	L	4.5	O	62.5	
23-Nov-24	Texas Tech	@ Oklahoma State	REG	W	56-48	W	-4.5	O	64	
30-Nov-24	Texas Tech	vs West Virginia	REG	W	52-15	W	-2.5	O	62.5	
27-Dec-24	Texas Tech	@ Arkansas	PST	L	39-26	L	-3	O	53	
2-Sep-23	Texas Tech	@ Wyoming	REG	L	35-33	L	-13.5	O	50.5	
9-Sep-23	Texas Tech	vs Oregon	REG	L	38-30	L	4.5	U	69	
16-Sep-23	Texas Tech	vs Tarleton	REG	W	41-3	W	-36.5	U	75.5	
23-Sep-23	Texas Tech	@ West Virginia	REG	L	20-13	L	-6	U	54	
30-Sep-23	Texas Tech	vs Houston	REG	W	49-28	W	-8.5	O	52	
7-Oct-23	Texas Tech	@ Baylor	REG	W	39-14	W	-2.5	U	59.5	
14-Oct-23	Texas Tech	vs Kansas State	REG	L	38-21	L	-1	O	57.5	
21-Oct-23	Texas Tech	@ Brigham Young	REG	L	27-14	L	-3	U	49.5	
2-Nov-23	Texas Tech	vs Texas Christian	REG	W	35-28	W	-2.5	O	59	
11-Nov-23	Texas Tech	@ Kansas	REG	W	16-13	W	3.5	U	63	
18-Nov-23	Texas Tech	vs Central Florida	REG	W	24-23	L	-2	U	59	
24-Nov-23	Texas Tech	@ Texas	REG	L	57-7	L	15.5	O	53.5	
16-Dec-23	Texas Tech	vs California	PST	W	34-14	W	-3.5	U	54.5	
29-Aug-24	Toledo	vs Duquesne	REG	W	49-10	W	-27.5	O	53.5	
7-Sep-24	Toledo	vs Massachusetts	REG	W	38-23	L	-17.5	O	51.5	
14-Sep-24	Toledo	@ Mississippi State	REG	W	41-17	W	10.5	O	57.5	
21-Sep-24	Toledo	@ Western Kentucky	REG	L	26-21	L	-2.5	U	60.5	
5-Oct-24	Toledo	vs Miami-OH	REG	W	30-20	W	-5.5	O	44	
12-Oct-24	Toledo	@ Buffalo	REG	L	30-15	L	-10.5	O	44.5	
19-Oct-24	Toledo	@ Northern Illinois	REG	W	13-6	W	3	U	42.5	
26-Oct-24	Toledo	vs Bowling Green	REG	L	41-26	L	-2	O	47.5	
2-Nov-24	Toledo	@ Eastern Michigan	REG	W	29-28	L	-10	O	54.5	
12-Nov-24	Toledo	vs Central Michigan	REG	W	37-10	W	-14.5	U	52	
20-Nov-24	Toledo	vs Ohio	REG	L	24-7	L	-1.5	U	46.5	
26-Nov-24	Toledo	@ Akron	REG	L	21-14	L	-9	U	49.5	
26-Dec-24	Toledo	vs Pittsburgh	PST	W	48-46	W	6.5	O	48.5	
2-Sep-23	Toledo	@ Illinois	REG	L	30-28	W	7.5	O	45.5	
9-Sep-23	Toledo	vs Texas Southern	REG	W	71-3	W	-40.5	O	63.5	
16-Sep-23	Toledo	vs San Jose State	REG	W	21-17	L	-9	U	56.5	
23-Sep-23	Toledo	vs Western Michigan	REG	W	49-31	L	-21.5	O	51.5	
30-Sep-23	Toledo	vs Northern Illinois	REG	W	35-33	L	-13.5	O	48	
7-Oct-23	Toledo	@ Massachusetts	REG	W	41-24	L	-19	O	55.5	
14-Oct-23	Toledo	@ Ball State	REG	W	13-6	L	-17.5	U	48.5	
21-Oct-23	Toledo	@ Miami-OH	REG	W	21-17	W	-1.5	U	46.5	
31-Oct-23	Toledo	vs Buffalo	REG	W	31-13	W	-14.5	U	47	
8-Nov-23	Toledo	vs Eastern Michigan	REG	W	49-23	W	-20	O	45	
14-Nov-23	Toledo	@ Bowling Green	REG	W	32-31	L	-10	O	49.5	
24-Nov-23	Toledo	@ Central Michigan	REG	W	32-17	W	-10	U	54.5	
2-Dec-23	Toledo	vs Miami-OH	REG	L	23-14	L	-6.5	U	43	
30-Dec-23	Toledo	@ Wyoming	PST	L	16-15	W	5	U	44	
31-Aug-24	Troy	vs Nevada	REG	L	28-26	L	-7.5	O	44.5	
7-Sep-24	Troy	@ Memphis	REG	L	38-17	L	18.5	U	56	
14-Sep-24	Troy	@ Iowa	REG	L	38-21	W	23.5	O	39	
21-Sep-24	Troy	vs Florida A&M	REG	W	34-12	W	-21.5	U	49.5	
28-Sep-24	Troy	vs Louisiana-Monroe	REG	L	13-9	L	-6.5	U	46	
3-Oct-24	Troy	vs Texas State	REG	L	38-17	L	14	U	56	
15-Oct-24	Troy	@ South Alabama	REG	L	25-9	L	10	U	53.5	
26-Oct-24	Troy	@ Arkansas State	REG	L	34-31	W	7.5	O	50	
2-Nov-24	Troy	vs Coastal Carolina	REG	W	38-24	W	4	O	51.5	
16-Nov-24	Troy	@ Georgia Southern	REG	W	28-20	W	7	U	54	
23-Nov-24	Troy	@ Louisiana-Lafayette	REG	L	51-30	L	7.5	O	52	
30-Nov-24	Troy	vs Southern Miss	REG	W	52-20	W	-17.5	O	49	
2-Sep-23	Troy	vs Stephen F. Austin	REG	W	48-30	L	-26	O	48	
9-Sep-23	Troy	@ Kansas State	REG	L	42-13	L	15	O	50	
16-Sep-23	Troy	vs James Madison	REG	L	16-14	L	-2.5	U	46.5	
23-Sep-23	Troy	vs Western Kentucky	REG	W	27-24	L	-4	U	58	
30-Sep-23	Troy	@ Georgia State	REG	W	28-7	W	1	U	50.5	
7-Oct-23	Troy	vs Arkansas State	REG	W	37-3	W	-15.5	U	52	
14-Oct-23	Troy	@ Army	REG	W	19-0	W	-6.5	U	42	
28-Oct-23	Troy	@ Texas State	REG	W	31-13	W	-6.5	U	53	
2-Nov-23	Troy	vs South Alabama	REG	W	28-10	W	-7	U	43.5	
11-Nov-23	Troy	@ Louisiana-Monroe	REG	W	45-14	W	-21.5	O	45.5	
18-Nov-23	Troy	vs Louisiana-Lafayette	REG	W	31-24	L	-16	O	47.5	
25-Nov-23	Troy	@ Southern Miss	REG	W	35-17	W	-17	O	48	
2-Dec-23	Troy	vs Appalachian State	REG	W	49-23	W	-5.5	O	53	
23-Dec-23	Troy	@ Duke	PST	L	17-10	L	-6.5	U	44	
29-Aug-24	Tulane	vs Southeastern Louisiana	REG	W	52-0	W	-28	U	55.5	
7-Sep-24	Tulane	vs Kansas State	REG	L	34-27	W	8.5	O	47.5	
14-Sep-24	Tulane	@ Oklahoma	REG	L	34-19	L	12.5	O	48.5	
21-Sep-24	Tulane	@ Louisiana-Lafayette	REG	W	41-33	W	-1.5	O	53.5	
28-Sep-24	Tulane	vs South Florida	REG	W	45-10	W	-4	U	60.5	
5-Oct-24	Tulane	@ Alabama-Birmingham	REG	W	71-20	W	-19.5	O	52.5	
19-Oct-24	Tulane	vs Rice	REG	W	24-10	L	-22.5	U	54.5	
26-Oct-24	Tulane	@ North Texas	REG	W	45-37	W	-7.5	O	70.5	
31-Oct-24	Tulane	@ Charlotte	REG	W	34-3	W	-14.5	U	55	
9-Nov-24	Tulane	vs Temple	REG	W	52-6	W	-26.5	O	50.5	
16-Nov-24	Tulane	@ Navy	REG	W	35-0	W	-7	U	49	
28-Nov-24	Tulane	vs Memphis	REG	L	34-24	L	-13.5	O	54	
20-Dec-24	Tulane	@ Florida	PST	L	33-8	L	10	U	50.5	
2-Sep-23	Tulane	vs South Alabama	REG	W	37-17	W	-6	O	51	
9-Sep-23	Tulane	vs Mississippi	REG	L	37-20	L	13	U	60.5	
16-Sep-23	Tulane	@ Southern Miss	REG	W	21-3	W	-7.5	U	47.5	
23-Sep-23	Tulane	vs Nicholls State	REG	W	36-7	L	-38	U	56	
30-Sep-23	Tulane	vs Alabama-Birmingham	REG	W	35-23	L	-22.5	U	59.5	
13-Oct-23	Tulane	@ Memphis	REG	W	31-21	W	-5	U	54.5	
21-Oct-23	Tulane	vs North Texas	REG	W	35-28	L	-20	U	63.5	
28-Oct-23	Tulane	@ Rice	REG	W	30-28	L	-10	O	55	
4-Nov-23	Tulane	@ East Carolina	REG	W	13-10	L	-17	U	44.5	
11-Nov-23	Tulane	vs Tulsa	REG	W	24-22	L	-25	U	53	
18-Nov-23	Tulane	@ Florida Atlantic	REG	W	24-8	W	-9	U	47	
24-Nov-23	Tulane	vs Texas-San Antonio	REG	W	29-16	W	-3.5	U	53.5	
2-Dec-23	Tulane	vs Southern Methodist	REG	L	26-14	L	-2.5	U	47.5	
27-Dec-23	Tulane	vs Virginia Tech	PST	L	41-20	L	13	O	43.5	
29-Aug-24	Tulsa	vs Northwestern State	REG	W	62-28	L	-37.5	O	56	
7-Sep-24	Tulsa	@ Arkansas State	REG	L	28-24	W	9	U	65.5	
14-Sep-24	Tulsa	vs Oklahoma State	REG	L	45-10	L	17.5	U	63.5	
21-Sep-24	Tulsa	@ Louisiana Tech	REG	W	23-20	W	3	U	57	
28-Sep-24	Tulsa	@ North Texas	REG	L	52-20	L	7	O	66.5	
5-Oct-24	Tulsa	vs Army	REG	L	49-7	L	14	O	50.5	
19-Oct-24	Tulsa	@ Temple	REG	L	20-10	L	3	U	51.5	
26-Oct-24	Tulsa	vs Texas-San Antonio	REG	W	46-45	W	9.5	O	52.5	
2-Nov-24	Tulsa	@ Alabama-Birmingham	REG	L	59-21	L	2.5	O	57.5	
14-Nov-24	Tulsa	vs East Carolina	REG	L	38-31	W	16.5	O	63	
23-Nov-24	Tulsa	@ South Florida	REG	L	63-30	L	17.5	O	60.5	
30-Nov-24	Tulsa	vs Florida Atlantic	REG	L	63-16	L	-1	O	58	
31-Aug-23	Tulsa	vs Arkansas-Pine Bluff	REG	W	42-7	L	-40.5	U	52.5	
9-Sep-23	Tulsa	@ Washington	REG	L	43-10	W	34	U	66.5	
16-Sep-23	Tulsa	vs Oklahoma	REG	L	66-17	L	28	O	58.5	
23-Sep-23	Tulsa	@ Northern Illinois	REG	W	22-14	W	3.5	U	54.5	
28-Sep-23	Tulsa	vs Temple	REG	W	48-26	W	-3	O	55.5	
7-Oct-23	Tulsa	@ Florida Atlantic	REG	L	20-17	P	3	U	54.5	
19-Oct-23	Tulsa	vs Rice	REG	L	42-10	L	-3.5	U	56.5	
28-Oct-23	Tulsa	@ Southern Methodist	REG	L	69-10	L	20.5	O	55	
4-Nov-23	Tulsa	vs Charlotte	REG	L	33-26	L	-4	O	48	
11-Nov-23	Tulsa	@ Tulane	REG	L	24-22	W	25	U	53	
18-Nov-23	Tulsa	vs North Texas	REG	L	35-28	L	2	U	69	
25-Nov-23	Tulsa	@ East Carolina	REG	W	29-27	W	3	O	43.5	
29-Aug-24	UAB	vs Alcorn State	REG	W	41-3	W	-29.5	U	55.5	
7-Sep-24	UAB	@ Louisiana-Monroe	REG	L	32-6	L	-11	U	55	
14-Sep-24	UAB	@ Arkansas	REG	L	37-27	W	23.5	O	61	
28-Sep-24	UAB	vs Navy	REG	L	41-18	L	4.5	O	56.5	
5-Oct-24	UAB	vs Tulane	REG	L	71-20	L	19.5	O	52.5	
12-Oct-24	UAB	@ Army	REG	L	44-10	L	27.5	U	55.5	
19-Oct-24	UAB	@ South Florida	REG	L	35-25	W	14	O	55.5	
2-Nov-24	UAB	vs Tulsa	REG	W	59-21	W	-2.5	O	57.5	
9-Nov-24	UAB	vs Connecticut	REG	L	31-23	L	7.5	U	54.5	
16-Nov-24	UAB	@ Memphis	REG	L	53-18	L	16	O	62.5	
23-Nov-24	UAB	vs Rice	REG	W	40-14	W	7	O	52	
30-Nov-24	UAB	@ Charlotte	REG	L	29-27	L	1	U	60.5	
31-Aug-23	UAB	vs North Carolina A&T	REG	W	35-6	W	-24.5	U	46.5	
9-Sep-23	UAB	@ Georgia Southern	REG	L	49-35	L	7	O	63	
16-Sep-23	UAB	vs Louisiana-Lafayette	REG	L	41-21	L	-2	O	59.5	
23-Sep-23	UAB	@ Georgia	REG	L	49-21	W	40	O	56.5	
30-Sep-23	UAB	@ Tulane	REG	L	35-23	W	22.5	U	59.5	
7-Oct-23	UAB	vs South Florida	REG	W	56-35	W	3	O	68	
14-Oct-23	UAB	@ Texas-San Antonio	REG	L	41-20	L	9	U	67	
21-Oct-23	UAB	vs Memphis	REG	L	45-21	L	7.5	O	62	
4-Nov-23	UAB	vs Florida Atlantic	REG	W	45-42	W	-1	O	59	
11-Nov-23	UAB	@ Navy	REG	L	31-6	L	-2.5	U	51.5	
18-Nov-23	UAB	vs Temple	REG	W	34-24	W	-7.5	U	61.5	
25-Nov-23	UAB	@ North Texas	REG	L	45-42	L	2	O	73	
29-Aug-24	UCF	vs New Hampshire	REG	W	57-3	W	-38	O	59.5	
7-Sep-24	UCF	vs Sam Houston State	REG	W	45-14	W	-21.5	O	54	
14-Sep-24	UCF	@ Texas Christian	REG	W	35-34	W	2.5	O	61.5	
28-Sep-24	UCF	vs Colorado	REG	L	48-21	L	-13.5	O	61.5	
5-Oct-24	UCF	@ Florida	REG	L	24-13	L	-1	U	62	
12-Oct-24	UCF	vs Cincinnati	REG	L	19-13	L	-2	U	58.5	
19-Oct-24	UCF	@ Iowa State	REG	L	38-35	W	13.5	O	49.5	
26-Oct-24	UCF	vs Brigham Young	REG	L	37-24	L	-2.5	O	53.5	
2-Nov-24	UCF	vs Arizona	REG	W	56-12	W	-6	O	55	
9-Nov-24	UCF	@ Arizona State	REG	L	35-31	L	2.5	O	56	
23-Nov-24	UCF	@ West Virginia	REG	L	31-21	L	-3	U	60.5	
29-Nov-24	UCF	vs Utah	REG	L	28-14	L	-10	U	46	
31-Aug-23	UCF	vs Kent State	REG	W	56-6	W	-35.5	O	53.5	
9-Sep-23	UCF	@ Boise State	REG	W	18-16	L	-3	U	58.5	
16-Sep-23	UCF	vs Villanova	REG	W	48-14	W	-27	O	54.5	
23-Sep-23	UCF	@ Kansas State	REG	L	44-31	L	6.5	O	52.5	
30-Sep-23	UCF	vs Baylor	REG	L	36-35	L	-8	O	56	
7-Oct-23	UCF	@ Kansas	REG	L	51-22	L	-2	O	65	
21-Oct-23	UCF	@ Oklahoma	REG	L	31-29	W	17	U	68	
28-Oct-23	UCF	vs West Virginia	REG	L	41-28	L	-6.5	O	59	
4-Nov-23	UCF	@ Cincinnati	REG	W	28-26	L	-3.5	U	60	
11-Nov-23	UCF	vs Oklahoma State	REG	W	45-3	W	1.5	U	64	
18-Nov-23	UCF	@ Texas Tech	REG	L	24-23	W	2	U	59	
25-Nov-23	UCF	vs Houston	REG	W	27-13	L	-16	U	61	
22-Dec-23	UCF	vs Georgia Tech	PST	L	30-17	L	-6	U	66.5	
31-Aug-24	UCLA	@ Hawaii	REG	W	16-13	L	-13.5	U	52.5	
14-Sep-24	UCLA	vs Indiana	REG	L	42-13	L	3.5	O	46.5	
21-Sep-24	UCLA	@ Louisiana State	REG	L	34-17	W	21.5	U	56.5	
28-Sep-24	UCLA	vs Oregon	REG	L	34-13	W	24	U	54.5	
5-Oct-24	UCLA	@ Penn State	REG	L	27-11	W	29.5	U	47.5	
12-Oct-24	UCLA	vs Minnesota	REG	L	21-17	L	3.5	U	39.5	
19-Oct-24	UCLA	@ Rutgers	REG	W	35-32	W	4.5	O	42	
2-Nov-24	UCLA	@ Nebraska	REG	W	27-20	W	7.5	O	38.5	
8-Nov-24	UCLA	vs Iowa	REG	W	20-17	W	6.5	U	45.5	
15-Nov-24	UCLA	@ Washington	REG	L	31-19	L	4.5	O	47	
23-Nov-24	UCLA	vs Southern California	REG	L	19-13	L	5	U	53	
30-Nov-24	UCLA	vs Fresno State	REG	W	20-13	L	-7.5	U	46.5	
2-Sep-23	UCLA	vs Coastal Carolina	REG	W	27-13	L	-15.5	U	66.5	
9-Sep-23	UCLA	@ San Diego State	REG	W	35-10	W	-13	U	49	
16-Sep-23	UCLA	vs North Carolina Central	REG	W	59-7	W	-35.5	O	60.5	
23-Sep-23	UCLA	@ Utah	REG	L	14-7	L	3.5	U	50.5	
7-Oct-23	UCLA	vs Washington State	REG	W	25-17	W	-3.5	U	59.5	
14-Oct-23	UCLA	@ Oregon State	REG	L	36-24	L	3.5	O	53.5	
21-Oct-23	UCLA	@ Stanford	REG	W	42-7	W	-17	U	51.5	
28-Oct-23	UCLA	vs Colorado	REG	W	28-16	L	-14	U	60	
4-Nov-23	UCLA	@ Arizona	REG	L	27-10	L	-2.5	U	49	
11-Nov-23	UCLA	vs Arizona State	REG	L	17-7	L	-14	U	45	
18-Nov-23	UCLA	@ Southern California	REG	W	38-20	W	5	U	63	
25-Nov-23	UCLA	vs California	REG	L	33-7	L	-9.5	U	51	
16-Dec-23	UCLA	@ Boise State	PST	W	35-22	W	-6.5	O	46	
31-Aug-24	Uconn	@ Maryland	REG	L	50-7	L	18.5	O	45	
7-Sep-24	Uconn	vs Merrimack	REG	W	63-17	W	-14.5	O	45.5	
14-Sep-24	Uconn	@ Duke	REG	L	26-21	W	17	U	47.5	
21-Sep-24	Uconn	vs Florida Atlantic	REG	W	48-14	W	-1	O	45.5	
28-Sep-24	Uconn	vs Buffalo	REG	W	47-3	W	-6	O	44.5	
5-Oct-24	Uconn	vs Temple	REG	W	29-20	L	-17.5	U	49.5	
19-Oct-24	Uconn	vs Wake Forest	REG	L	23-20	L	2.5	U	55.5	
26-Oct-24	Uconn	vs Rice	REG	W	17-10	W	-6.5	U	46.5	
1-Nov-24	Uconn	vs Georgia State	REG	W	34-27	P	-7	O	48	
9-Nov-24	Uconn	@ Alabama-Birmingham	REG	W	31-23	W	-7.5	U	54.5	
23-Nov-24	Uconn	@ Syracuse	REG	L	31-24	W	10	O	53.5	
30-Nov-24	Uconn	@ Massachusetts	REG	W	47-42	L	-8	O	50.5	
28-Dec-24	Uconn	@ North Carolina	PST	W	27-14	W	2	U	53.5	
31-Aug-23	Uconn	vs North Carolina State	REG	L	24-14	W	14.5	U	48	
9-Sep-23	Uconn	@ Georgia State	REG	L	35-14	L	3	U	54.5	
16-Sep-23	Uconn	vs Florida International	REG	L	24-17	L	-7	U	44	
23-Sep-23	Uconn	vs Duke	REG	L	41-7	L	22	O	46	
30-Sep-23	Uconn	vs Utah State	REG	L	34-33	W	4	O	50.5	
