Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Lo,Last,Season
36,Arkansas (7-6),10,2-Jan,0-3,Jan-00,23,50,36,2024
37,Boise St (12-2),9.7,0-2,0-0,0-0,22,47,34,2024
38,Illinois (10-3),8.4,0-2,Feb-00,1-Feb,37,59,46,2024
39,Nebraska (7-6),8.4,0-2,0-2,1-Jan,27,55,41,2024
40,Utah (5-7),8,0-0,0-3,2-Jan,11,47,39,2024
41,UCF (4-8),7.9,0-0,0-4,2-Jan,16,46,42,2024
42,Georgia Tech (7-6),7.7,0-2,1-Jan,0-1,36,48,38,2024
43,Kentucky (4-8),7.6,3-Jan,0-3,0-1,21,48,40,2024
44,UNLV (11-3),7.3,0-0,0-0,2-Jan,21,82,45,2024
45,Vanderbilt (7-6),7.2,2-Jan,0-3,Feb-00,40,97,44,2024
46,Texas Tech (8-5),6.5,0-0,Feb-00,0-4,36,83,43,2024
47,Wisconsin (5-7),6.3,0-3,0-2,0-2,29,61,48,2024
48,Washington (6-7),6.3,0-3,2-Feb,0-0,37,55,50,2024
49,Rutgers (7-6),5.7,0-0,0-1,3-Feb,40,67,51,2024
50,Syracuse (10-3),5.3,0-0,Jan-00,Jan-00,48,69,52,2024
51,Boston College (7-6),4.9,0-0,0-3,0-2,24,66,49,2024
52,Army (12-2),4.8,0-1,0-0,Jan-00,47,98,47,2024
53,Cincinnati (5-7),4.8,0-0,1-Jan,0-3,37,74,53,2024
54,Memphis (11-2),4.6,0-0,0-0,Jan-00,29,67,55,2024
55,UCLA (5-7),3.8,0-3,2-Jan,1-Jan,48,82,60,2024
56,Navy (10-3),3.6,0-1,0-0,1-Jan,55,101,63,2024
57,West Virginia (6-7),3.3,0-1,0-1,2-Jan,28,59,57,2024
58,Pittsburgh (7-6),3.2,0-0,0-3,0-0,34,75,54,2024
59,Duke (9-4),2.6,0-1,0-2,Jan-00,55,79,56,2024
60,California (6-7),2.5,0-0,0-2,Jan-00,39,68,58,2024
61,Texas St (8-5),2.1,0-0,0-1,0-0,55,94,61,2024
62,North Carolina (6-7),1.6,0-0,0-0,Jan-00,43,69,59,2024
63,J Madison (9-4),1,0-0,0-0,0-0,42,91,62,2024
64,Marshall (10-3),0.6,0-1,0-0,0-1,64,105,65,2024
65,Mississippi St (2-10),0.4,0-4,0-4,0-1,50,86,66,2024
66,Maryland (4-8),0.3,0-3,1-Jan,0-1,31,70,70,2024
67,NC State (6-7),0.1,0-1,0-1,0-0,31,79,64,2024
68,Ohio (11-3),-0.2,0-0,0-0,0-0,68,112,71,2024
69,S Alabama (7-6),-0.6,0-0,0-1,0-0,59,101,69,2024
70,Washington St (8-5),-0.7,0-0,0-0,0-1,42,73,67,2024
71,Oklahoma St (3-9),-1,0-0,0-2,5-Jan,19,76,74,2024
72,Houston (4-8),-1.1,0-0,0-2,3-Mar,56,91,75,2024
73,Miami OH (9-5),-1.3,0-1,0-0,0-0,69,95,78,2024
74,Florida St (2-10),-1.5,0-1,0-4,0-0,12,75,73,2024
75,Virginia (5-7),-1.5,0-1,0-3,0-1,64,85,72,2024
76,Louisiana (10-4),-1.6,0-0,0-0,0-2,61,79,68,2024
77,Michigan St (5-7),-1.7,0-3,1-Jan,0-1,57,83,76,2024
78,Northwestern (4-8),-3.1,0-2,0-2,0-1,63,88,83,2024
79,Jacksonville St (9-5),-3.1,0-0,0-1,0-0,77,120,77,2024
80,S Florida (7-6),-3.1,0-1,0-1,0-1,48,88,79,2024
81,N Illinois (8-5),-3.3,Jan-00,0-0,0-0,58,92,85,2024
82,Arizona (4-8),-3.4,0-0,0-2,3-Jan,32,82,81,2024
83,UConn (9-4),-3.7,0-0,0-0,0-0,83,128,89,2024
84,Bowling Green (7-6),-3.7,0-1,0-1,0-0,65,97,80,2024
85,Old Dominion (5-7),-4,0-0,0-1,0-1,79,110,82,2024
86,UTSA (7-6),-4.1,0-1,0-0,0-0,58,109,91,2024
87,Toledo (8-5),-4.2,0-0,0-0,0-0,61,90,90,2024
88,Wake Forest (4-8),-4.5,0-1,0-2,0-0,70,88,84,2024
89,Georgia So (8-5),-5,0-1,0-0,0-1,81,104,86,2024
90,Stanford (3-9),-5.1,0-1,2-Jan,0-2,66,99,87,2024
91,E Carolina (8-5),-5.6,0-0,0-0,0-0,83,101,92,2024
92,Fresno St (6-7),-5.6,0-0,0-1,0-0,66,92,88,2024
93,N Texas (6-7),-7.1,0-0,0-0,0-1,85,104,95,2024
94,Rice (4-8),-7.3,0-0,0-0,0-1,80,105,94,2024
95,Liberty (8-4),-8,0-0,0-0,0-0,42,96,93,2024
96,App State (5-6),-8.1,0-0,0-1,0-0,53,105,97,2024
97,San Jose St (7-6),-8.2,0-0,0-0,0-1,91,112,99,2024
98,Sam Houston (10-3),-8.3,0-0,0-0,0-0,90,117,101,2024
99,Oregon St (5-7),-8.8,0-1,0-0,0-1,61,103,100,2024
100,W Kentucky (8-6),-9,0-1,0-0,0-0,78,111,102,2024
101,Troy (4-8),-9.2,0-0,0-1,0-0,90,109,103,2024
102,Colorado St (8-5),-9.2,0-1,0-0,0-1,94,115,96,2024
103,Buffalo (9-4),-10.1,0-0,0-1,0-0,103,123,108,2024
104,W Michigan (6-7),-10.2,0-1,0-0,0-0,93,110,104,2024
105,Coastal Car (6-7),-10.2,0-0,0-0,0-0,72,105,98,2024
106,Air Force (5-7),-11.4,0-0,0-0,0-1,87,123,105,2024
107,Utah St (4-8),-11.9,0-0,0-1,0-2,106,122,107,2024
108,Nevada (3-10),-11.9,0-0,0-1,0-2,98,127,106,2024
109,Wyoming (3-9),-12.5,0-0,0-2,0-1,91,123,109,2024
110,Hawai'i (5-7),-12.5,0-0,0-0,0-1,97,112,110,2024
111,Arkansas St (8-5),-12.6,0-0,0-2,0-0,95,115,114,2024
112,UAB (3-9),-12.8,0-0,0-0,0-2,87,121,111,2024
113,Charlotte (5-7),-12.9,0-1,0-0,0-1,102,124,112,2024
114,Purdue (1-11),-13.1,0-5,0-0,0-2,51,116,116,2024
115,Louisiana Tech (5-8),-13.5,0-0,0-0,0-1,113,126,113,2024
116,UL Monroe (5-7),-13.9,0-1,0-0,0-1,99,133,115,2024
117,E Michigan (5-7),-14.1,0-0,0-0,0-0,98,123,119,2024
118,Florida Intl (4-8),-14.3,0-1,0-0,0-0,98,129,118,2024
119,Georgia St (3-9),-14.4,0-0,0-0,0-0,111,125,117,2024
120,Florida Atlantic (3-9),-14.4,0-0,0-0,0-0,98,124,120,2024
121,C Michigan (4-8),-15.3,0-0,0-0,0-1,77,123,123,2024
122,San Diego St (3-9),-15.5,0-0,0-0,0-1,98,123,122,2024
123,New Mexico (5-7),-15.5,0-0,0-0,0-1,119,133,121,2024
124,Akron (4-8),-16.3,0-1,0-1,0-0,123,129,124,2024
125,UMass (2-10),-19.4,0-1,0-1,0-0,125,133,125,2024
126,Ball St (3-9),-19.7,0-0,0-1,0-0,118,131,126,2024
127,Temple (3-9),-20.6,0-0,0-0,0-2,123,133,127,2024
128,UTEP (3-9),-22.8,0-1,0-0,0-1,124,131,128,2024
129,Middle Tenn (3-9),-23.5,0-1,0-0,0-0,115,131,129,2024
130,New Mexico St (3-9),-24.9,0-0,0-1,0-0,126,133,130,2024
131,Southern Miss (1-11),-25.7,0-0,0-0,0-0,118,132,131,2024
132,Tulsa (3-9),-25.8,0-0,0-0,0-0,99,133,133,2024
133,Kennesaw St (2-10),-26.1,0-0,0-0,0-0,131,134,132,2024
134,Kent St (0-12),-32.5,0-2,0-0,0-0,131,134,134,2024
