,game_id,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,favorite_covered
2721,2011-10-22_Louisiana Tech_Utah State,home,away,2011-10-22,24,17,Louisiana Tech,Utah State,57.0,6.5,U,y,n,-500,210,Louisiana Tech_Utah State,n
2722,2011-10-22_Memphis_Tulane,home,away,2011-10-22,33,17,Memphis,Tulane,53.5,12.5,U,y,n,-628.1851851851852,429.48148148148147,Memphis_Tulane,n
2723,2011-10-22_Miami OH_Toledo,home,away,2011-10-22,28,49,Miami OH,Toledo,55.0,16.5,O,y,n,-1718.775,3000,Miami OH_Toledo,y
2724,2011-10-22_Michigan State_Wisconsin,away,home,2011-10-22,31,37,Wisconsin,Michigan State,51.0,7.5,O,y,n,-300,330,Michigan State_Wisconsin,n
2725,2011-10-22_Minnesota_Nebraska,away,home,2011-10-22,41,14,Nebraska,Minnesota,57.5,24.0,U,n,y,-2000,110,Minnesota_Nebraska,y
2726,2011-10-22_Missouri_Oklahoma State,away,home,2011-10-22,45,24,Oklahoma State,Missouri,70.5,7.0,U,y,n,-6000,1887.4812030075188,Missouri_Oklahoma State,y
2727,2011-10-22_New Mexico_TCU,home,away,2011-10-22,0,69,New Mexico,TCU,62.0,44.5,O,y,n,-54000.0,125,New Mexico_TCU,y
2728,2011-10-22_Northwestern_Penn State,away,home,2011-10-22,34,24,Penn State,Northwestern,47.0,4.5,O,y,n,-309.2950819672131,392.8196721311475,Northwestern_Penn State,y
2729,2011-10-22_Notre Dame_USC,home,away,2011-10-22,31,17,USC,Notre Dame,57.5,9.5,U,y,n,-378.86538461538464,130,Notre Dame_USC,n
2730,2011-10-22_Oklahoma_Texas Tech,home,away,2011-10-22,41,38,Texas Tech,Oklahoma,69.5,29.0,O,y,n,-4525.0,140,Oklahoma_Texas Tech,n
2731,2011-10-22_Oregon State_Washington State,home,away,2011-10-22,44,21,Oregon State,Washington State,56.0,3.0,O,y,n,-276.2142857142857,695.625,Oregon State_Washington State,n
2732,2011-10-22_Rice_Tulsa,away,home,2011-10-22,38,20,Tulsa,Rice,61.0,10.0,U,y,n,-400,360,Rice_Tulsa,y
2733,2011-10-22_SMU_Southern Miss,home,away,2011-10-22,3,27,SMU,Southern Miss,60.5,3.0,U,y,n,-276.2142857142857,695.625,SMU_Southern Miss,y
2734,2011-10-22_Stanford_Washington,home,away,2011-10-22,21,65,Washington,Stanford,66.0,18.5,O,y,n,-645.2941176470588,865,Stanford_Washington,y
2735,2011-10-26_Connecticut_Pittsburgh,home,away,2011-10-26,20,35,Connecticut,Pittsburgh,43.0,10.0,O,y,n,-521.3134328358209,485,Connecticut_Pittsburgh,y
2736,2011-10-27_Houston_Rice,home,away,2011-10-27,34,73,Rice,Houston,73.5,27.5,O,y,n,-3594.4117647058824,400,Houston_Rice,y
2737,2011-10-27_Miami FL_Virginia,home,away,2011-10-27,28,21,Virginia,Miami FL,48.0,14.0,O,y,n,-480.8358208955224,508.25373134328356,Miami FL_Virginia,n
2738,2011-10-28_BYU_TCU,home,away,2011-10-28,28,38,BYU,TCU,55.5,13.0,O,y,n,-462.03125,577.53125,BYU_TCU,n
2739,2011-10-29_Air Force_New Mexico,away,home,2011-10-29,42,0,Air Force,New Mexico,63.0,28.5,U,n,y,-5200,110,Air Force_New Mexico,y
2740,2011-10-29_Akron_Central Michigan,away,home,2011-10-29,23,22,Central Michigan,Akron,50.5,7.0,U,y,n,-280,350,Akron_Central Michigan,n
2741,2011-10-29_Arizona State_Colorado,home,away,2011-10-29,14,48,Colorado,Arizona State,56.5,32.5,O,y,n,-12038.333333333334,450,Arizona State_Colorado,y
2742,2011-10-29_Arizona_Washington,home,away,2011-10-29,31,42,Arizona,Washington,72.0,3.5,O,y,n,-252.70491803278688,1557.639344262295,Arizona_Washington,y
2743,2011-10-29_Arkansas State_North Texas,home,away,2011-10-29,14,37,North Texas,Arkansas State,54.0,17.5,U,y,n,-678.28125,564.25,Arkansas State_North Texas,y
2744,2011-10-29_Arkansas_Vanderbilt,away,home,2011-10-29,31,28,Arkansas,Vanderbilt,53.5,8.5,O,y,n,-370.22222222222223,1141.0740740740741,Arkansas_Vanderbilt,n
2745,2011-10-29_Army_FCS,home,away,2011-10-29,0,55,FCS,Army,52.0,29.5,O,y,n,-2493.3333333333335,3011.3333333333335,Army_FCS,y
2746,2011-10-29_Auburn_FCS,home,away,2011-10-29,23,41,FCS,Auburn,51.5,12.0,O,y,n,-300,340,Auburn_FCS,y
