,game_id,full_date,spread,ou,ou_total,home,away,match_key,home_score,away_score,fav_side,dog_side,favorite_covered,spread_home_cover,spread_away_cover,ml_fav,ml_dog
528,2023-11-11_Utah_Washington,2023-11-11,9.0,O,49.0,Washington,Utah,Utah_Washington,35,28,away,home,n,n,y,-311.2972972972973,422.86486486486484
529,2023-11-14_Akron_Eastern Michigan,2023-11-14,3.5,O,39.5,Eastern Michigan,Akron,Akron_Eastern Michigan,30,27,away,home,n,n,y,-252.70491803278688,1557.639344262295
530,2023-11-14_Bowling Green_Toledo,2023-11-14,10.0,O,49.5,Bowling Green,Toledo,Bowling Green_Toledo,31,32,away,home,n,y,n,-521.3134328358209,471.5074626865672
531,2023-11-14_Northern Illinois_Western Michigan,2023-11-14,4.5,U,56.5,Northern Illinois,Western Michigan,Northern Illinois_Western Michigan,24,0,home,away,y,y,n,-309.2950819672131,392.8196721311475
532,2023-11-15_Central Michigan_Ohio,2023-11-15,11.0,O,49.5,Ohio,Central Michigan,Central Michigan_Ohio,34,20,home,away,y,y,n,-377.4,748.5
533,2023-11-16_Boston College_Pittsburgh,2023-11-16,2.5,U,46.5,Pittsburgh,Boston College,Boston College_Pittsburgh,24,16,away,home,n,y,n,-378.39325842696627,412.0
534,2023-11-17_Colorado_Washington State,2023-11-17,4.0,O,59.0,Washington State,Colorado,Colorado_Washington State,56,14,away,home,n,y,n,-252.21686746987953,446.71084337349396
535,2023-11-18_Appalachian State_James Madison,2023-11-18,10.0,U,56.5,James Madison,Appalachian State,Appalachian State_James Madison,23,26,away,home,n,y,n,-521.3134328358209,471.5074626865672
536,2023-11-18_Arizona State_Oregon,2023-11-18,24.5,O,53.5,Arizona State,Oregon,Arizona State_Oregon,13,49,home,away,n,n,y,-1142.235294117647,1202.0588235294117
537,2023-11-18_Arizona_Utah,2023-11-18,2.5,O,47.0,Arizona,Utah,Arizona_Utah,42,18,home,away,y,y,n,-378.39325842696627,412.0
538,2023-11-18_Arkansas State_Texas State,2023-11-18,3.0,O,59.5,Arkansas State,Texas State,Arkansas State_Texas State,77,31,away,home,n,y,n,-276.2142857142857,695.625
539,2023-11-18_Arkansas_FIU,2023-11-18,26.5,O,50.0,Arkansas,FIU,Arkansas_FIU,44,20,away,home,n,n,y,-1588.5555555555557,1173.111111111111
540,2023-11-18_Army_Coastal Carolina,2023-11-18,1.0,O,40.5,Army,Coastal Carolina,Army_Coastal Carolina,28,21,home,away,y,y,n,-180.61666666666667,415.98333333333335
541,2023-11-18_Auburn_New Mexico State,2023-11-18,25.0,U,48.0,Auburn,New Mexico State,Auburn_New Mexico State,10,31,home,away,n,n,y,-1559.4444444444443,1209.5555555555557
542,2023-11-18_BYU_Oklahoma,2023-11-18,24.5,U,58.5,BYU,Oklahoma,BYU_Oklahoma,24,31,away,home,n,y,n,-1142.235294117647,1202.0588235294117
543,2023-11-18_Ball State_Kent State,2023-11-18,11.0,U,42.5,Ball State,Kent State,Ball State_Kent State,34,3,home,away,y,y,n,-377.4,748.5
544,2023-11-18_Baylor_TCU,2023-11-18,13.0,U,61.0,TCU,Baylor,Baylor_TCU,42,17,home,away,y,y,n,-462.03125,577.53125
545,2023-11-18_Boise State_Utah State,2023-11-18,5.0,U,63.5,Utah State,Boise State,Boise State_Utah State,10,45,home,away,n,n,y,-398.10526315789474,415.05263157894734
546,2023-11-18_California_Stanford,2023-11-18,7.0,U,53.0,Stanford,California,California_Stanford,15,27,home,away,n,n,y,-470.5263157894737,1887.4812030075188
547,2023-11-18_Charlotte_Rice,2023-11-18,1.0,U,46.5,Charlotte,Rice,Charlotte_Rice,7,28,away,home,y,n,y,-180.61666666666667,415.98333333333335
548,2023-11-18_Cincinnati_West Virginia,2023-11-18,5.0,O,52.5,West Virginia,Cincinnati,Cincinnati_West Virginia,42,21,away,home,n,y,n,-398.10526315789474,415.05263157894734
549,2023-11-18_Clemson_North Carolina,2023-11-18,7.5,U,59.5,Clemson,North Carolina,Clemson_North Carolina,31,20,away,home,n,y,n,-367.5833333333333,977.5555555555555
550,2023-11-18_Colorado State_Nevada,2023-11-18,12.0,O,45.0,Colorado State,Nevada,Colorado State_Nevada,30,20,home,away,n,n,y,-411.86206896551727,430.82758620689657
551,2023-11-18_Duke_Virginia,2023-11-18,3.0,O,46.0,Virginia,Duke,Duke_Virginia,30,27,home,away,n,n,y,-276.2142857142857,695.625
552,2023-11-18_East Carolina_Navy,2023-11-18,2.5,U,30.5,Navy,East Carolina,East Carolina_Navy,10,0,home,away,y,y,n,-378.39325842696627,412.0
