Team	Rating	v 1-10	v 11-25	v 26-40	Hi	Lo	Last	Season
Oklahoma 	24.5	1-2	0-0	4-0	1	54	1	2003
LSU 	20.4	3-0	3-1	1-0	1	37	2	2003
USC 	19.3	1-0	2-0	1-1	2	105	3	2003
Miami OH 	17.3	0-0	0-1	2-0	4	89	4	2003
Florida St 	16.9	0-0	2-3	2-0	2	95	5	2003
Texas 	16.7	1-1	1-2	2-0	1	61	6	2003
Michigan 	16.3	0-1	3-1	1-0	1	41	7	2003
Kansas St 	15.3	1-1	1-1	2-1	1	46	8	2003
Boise St 	14.7	0-0	0-0	0-1	8	50	9	2003
Georgia 	14.1	0-2	4-1	1-0	3	27	10	2003
Miami 	12.3	2-0	1-2	2-0	1	108	11	2003
Maryland 	12.1	0-1	1-0	4-0	12	109	12	2003
Iowa 	11.9	2-0	2-2	1-1	5	52	13	2003
Minnesota 	11.7	0-1	0-1	1-1	2	40	14	2003
Arkansas 	11.2	1-1	0-3	2-0	6	52	15	2003
Mississippi 	10.3	0-1	3-0	2-1	16	55	16	2003
Florida 	10.3	2-1	1-4	0-0	1	34	17	2003
Washington St 	9.5	1-1	0-0	2-0	10	103	18	2003
Auburn 	9.4	0-3	2-1	2-0	18	101	19	2003
Tennessee 	9.2	0-1	2-2	1-0	15	39	20	2003
Nebraska 	9.1	0-2	0-0	2-1	11	59	21	2003
Clemson 	8.7	1-1	1-1	1-1	22	109	22	2003
Purdue 	8.7	0-2	1-1	1-1	12	59	23	2003
Ohio St 	8.7	1-1	2-0	3-1	22	44	24	2003
Virginia Tech 	8.6	0-0	1-0	0-4	4	100	25	2003
Virginia 	8.4	0-1	1-2	1-1	16	94	26	2003
California 	8.2	1-1	1-0	0-2	19	117	27	2003
Texas Tech 	7.6	0-2	1-0	1-3	2	55	28	2003
NC State 	7.6	0-1	1-2	2-0	29	99	29	2003
Oklahoma St 	7.2	1-2	0-2	1-0	7	83	30	2003
Utah 	7.2	0-0	0-0	1-1	2	78	31	2003
New Mexico 	6.7	0-0	0-1	1-1	13	80	32	2003
Michigan St 	6.4	0-1	2-2	0-1	18	50	33	2003
Missouri 	5.5	0-2	1-1	1-0	16	55	34	2003
West Virginia 	5.4	0-0	1-3	1-1	20	115	35	2003
Bowling Green 	5.3	0-2	1-1	0-0	3	37	36	2003
Wisconsin 	5	0-0	1-4	2-0	19	59	37	2003
Pittsburgh 	4.9	0-0	1-1	0-2	11	112	38	2003
Oregon St 	4.6	1-1	0-1	1-0	30	106	39	2003
Alabama 	4.5	0-3	0-4	0-0	18	46	40	2003
Boston College 	3.6	0-0	1-1	0-2	25	113	41	2003
Georgia Tech 	3.5	0-2	2-1	1-1	31	110	42	2003
Colorado St 	3.3	0-1	0-0	1-2	35	92	43	2003
Memphis 	3	0-0	1-0	0-0	41	80	44	2003
Southern Miss 	2.6	0-0	0-1	0-3	42	107	45	2003
UConn 	1.9	0-0	0-1	0-1	13	116	46	2003
Air Force 	1.8	0-0	0-0	0-2	23	81	47	2003
N Illinois 	1.7	0-0	1-0	1-1	4	63	48	2003
Louisville 	1.6	0-0	0-0	0-0	20	76	49	2003
Wake Forest 	1.5	0-1	1-2	1-1	26	97	50	2003
TCU 	1.2	0-0	0-0	0-0	34	69	51	2003
Marshall 	1.1	1-1	0-1	0-0	10	81	52	2003
Oregon 	0.8	1-0	0-2	2-1	17	107	53	2003
Toledo 	0.5	0-0	0-0	1-1	3	107	54	2003
Syracuse 	0.3	0-0	0-2	0-2	36	117	55	2003
N Texas 	0.1	0-1	0-1	0-0	50	105	56	2003
Penn St 	0.1	0-0	0-5	0-2	31	78	57	2003
South Carolina 	-0.1	0-2	0-5	1-0	24	59	58	2003
Notre Dame 	-0.3	0-3	1-1	1-1	27	81	59	2003
Navy 	-0.6	0-0	0-0	0-1	20	80	60	2003
Washington 	-0.9	0-1	1-1	1-1	32	91	61	2003
UNLV 	-1.5	0-0	0-0	2-1	8	79	62	2003
Hawai'i 	-1.9	0-2	0-0	1-0	22	85	63	2003
Northwestern 	-1.9	0-2	0-3	1-1	33	76	64	2003
Kentucky 	-1.9	0-1	0-3	0-1	33	92	65	2003
Colorado 	-2.1	0-3	0-2	1-1	37	91	66	2003
Rutgers 	-2.4	0-0	0-2	0-3	29	114	67	2003
San Diego St 	-2.6	0-0	0-1	0-2	51	97	68	2003
Akron 	-2.8	0-1	0-0	0-1	12	108	69	2003
UCLA 	-2.9	0-2	0-1	1-0	49	106	70	2003
Arizona St 	-3	0-1	0-2	0-2	54	89	71	2003
Fresno St 	-3	0-2	0-1	1-0	21	90	72	2003
S Florida 	-3.2	0-0	0-0	0-1	60	99	73	2003
Kansas 	-3.3	0-1	0-1	1-2	27	78	74	2003
Tulsa 	-3.6	0-1	0-2	0-0	19	112	75	2003
Cincinnati 	-4.3	0-1	0-0	1-0	11	77	76	2003
BYU 	-5	0-2	0-0	1-1	5	93	77	2003
Houston 	-5.2	0-1	0-0	0-0	12	87	78	2003
Wyoming 	-5.3	0-1	0-0	0-3	60	101	79	2003
UAB 	-5.8	0-1	0-0	0-0	32	103	80	2003
W Michigan 	-7	0-0	0-0	0-3	1	98	81	2003
North Carolina 	-7.2	0-1	0-2	0-3	82	115	82	2003
Louisiana Tech 	-7.2	0-2	0-1	1-0	19	117	83	2003
Rice 	-7.4	0-1	0-0	0-0	18	111	84	2003
Utah St 	-7.5	0-0	0-1	0-2	72	113	85	2003
Middle Tenn 	-7.9	0-1	0-1	0-1	84	116	86	2003
Duke 	-8	0-1	0-3	0-2	85	106	87	2003
Texas A&M 	-8	0-2	0-2	1-4	26	88	88	2003
Vanderbilt 	-8.5	0-1	0-4	0-0	26	97	89	2003
Stanford 	-8.8	0-1	0-1	0-2	38	93	90	2003
Kent St 	-8.8	0-1	0-0	0-2	7	104	91	2003
Nevada 	-8.9	0-1	0-0	0-0	16	108	92	2003
Troy 	-8.9	0-1	0-2	0-1	68	113	93	2003
Temple 	-9.6	0-0	0-2	0-2	77	111	94	2003
Tulane 	-9.9	0-1	0-0	0-0	56	99	95	2003
New Mexico St 	-10	0-1	0-1	0-2	58	117	96	2003
Ball St 	-11.5	0-1	0-0	0-3	2	111	98	2003
Illinois 	-12	0-1	0-3	0-4	50	100	99	2003
Ohio 	-12.3	0-1	0-1	0-0	7	114	100	2003
Mississippi St 	-13.8	0-1	0-4	0-1	40	103	101	2003
UCF 	-14.2	0-1	0-1	0-1	11	107	102	2003
Arizona 	-14.4	0-2	0-2	0-2	10	111	103	2003
Indiana 	-14.6	0-1	0-3	0-1	43	107	104	2003
Louisiana 	-15	0-0	0-1	0-1	61	110	105	2003
Iowa St 	-15.2	0-3	0-2	0-2	44	106	106	2003
San Jose St 	-15.7	0-1	0-1	0-0	14	117	107	2003
E Carolina 	-16	0-0	0-1	0-1	54	115	108	2003
C Michigan 	-16.1	0-1	0-0	0-1	9	112	109	2003
E Michigan 	-17	0-0	0-1	0-1	5	117	110	2003
Arkansas St 	-18.8	0-0	0-1	0-0	41	112	111	2003
Baylor 	-19	0-3	0-0	0-2	54	114	112	2003
Army 	-20	0-0	0-0	0-0	53	115	113	2003
Buffalo 	-20.1	0-1	0-1	0-0	13	117	114	2003
UL Monroe 	-20.8	0-1	0-2	0-0	71	117	115	2003
SMU 	-21	0-1	0-0	0-2	23	116	116	2003
UTEP 	-21.4	0-1	0-0	0-0	17	117	117	2003
USC 	24.8	3-0	1-0	4-0	1	105	1	2004
Louisville 	22.5	1-1	0-0	0-0	1	77	2	2004
California 	19.6	0-1	1-1	3-0	2	87	3	2004
Utah 	18.6	0-0	1-0	0-0	2	79	4	2004
Oklahoma 	17.9	1-1	4-0	1-0	3	56	5	2004
Miami 	16.1	1-1	3-0	2-0	5	108	6	2004
Auburn 	16	1-0	2-0	4-0	5	34	7	2004
Texas 	16	0-1	4-0	2-0	1	62	8	2004
Boise St 	16	0-1	1-0	2-0	2	23	9	2004
Virginia Tech 	15.1	1-2	1-0	2-1	4	117	10	2004
Purdue 	12.4	0-0	1-3	1-1	1	54	11	2004
Virginia 	11.7	0-2	0-2	1-0	3	95	12	2004
Fresno St 	11.7	0-1	1-0	0-1	12	53	13	2004
Texas Tech 	11.1	1-2	1-1	1-0	12	57	14	2004
Florida St 	10.8	0-1	1-1	2-0	9	96	15	2004
LSU 	10.4	0-1	1-2	3-0	6	74	16	2004
Bowling Green 	10.1	0-1	0-0	0-0	8	86	17	2004
Georgia 	10	0-1	2-0	3-1	11	87	18	2004
Arizona St 	9.7	0-2	2-0	4-0	1	88	19	2004
Florida 	8.9	0-1	1-2	1-1	17	54	20	2004
Iowa 	8.7	0-0	3-2	2-0	14	57	21	2004
Michigan 	8.4	0-1	2-1	1-1	9	43	22	2004
Oklahoma St 	7.7	0-2	0-3	1-0	6	58	23	2004
Ohio St 	7.5	0-0	2-2	1-1	21	55	24	2004
Texas A&M 	7.3	0-3	2-0	0-1	10	116	25	2004
Oregon St 	7.2	0-3	0-2	2-0	25	104	26	2004
Tennessee 	7	0-2	3-0	1-1	22	53	27	2004
UCLA 	5.9	0-2	0-2	1-0	25	106	28	2004
Arkansas 	5.6	0-2	0-3	1-0	3	36	29	2004
Minnesota 	4.7	0-0	0-2	1-1	5	42	30	2004
Alabama 	4.6	0-1	0-1	0-3	16	37	31	2004
Wisconsin 	4.6	0-0	2-2	1-0	19	45	32	2004
UTEP 	4.3	0-1	1-1	0-0	18	117	33	2004
Stanford 	3.9	0-2	0-1	0-3	7	90	34	2004
Georgia Tech 	3.7	0-2	0-2	1-0	35	110	35	2004
Notre Dame 	3.6	0-1	1-1	2-2	28	49	36	2004
Kansas 	3.6	0-2	0-1	0-0	14	60	37	2004
West Virginia 	3.5	0-1	0-1	0-1	11	115	38	2004
NC State 	3.3	1-1	0-2	0-1	33	100	39	2004
Boston College 	2.4	0-0	0-0	2-0	4	113	40	2004
Clemson 	2.4	1-0	0-3	1-1	39	109	41	2004
Penn St 	2.4	0-0	0-3	0-3	8	55	42	2004
New Mexico 	1.6	0-1	1-0	0-1	36	113	43	2004
Michigan St 	1.5	0-0	0-3	2-1	38	73	44	2004
Oregon 	1.5	0-2	0-1	1-2	36	107	45	2004
South Carolina 	1.4	0-0	0-2	2-1	12	48	46	2004
BYU 	0.9	0-3	0-0	1-1	40	94	47	2004
Missouri 	0.8	0-1	0-1	0-1	13	51	48	2004
Cincinnati 	0.6	0-1	0-1	0-0	39	94	49	2004
N Illinois 	0.5	0-0	1-0	0-0	4	85	50	2004
Colorado 	0.3	0-2	0-2	2-0	35	69	51	2004
Miami OH 	0.3	0-0	0-1	0-0	1	89	52	2004
UConn 	0.3	0-0	0-0	0-3	38	116	53	2004
North Carolina 	0.2	1-3	0-2	2-1	49	105	54	2004
Troy 	0	0-0	0-1	0-0	28	72	55	2004
Maryland 	-0.2	0-1	1-1	0-3	27	101	56	2004
Memphis 	-0.3	0-1	0-1	0-0	31	67	57	2004
Pittsburgh 	-0.5	0-1	0-0	3-0	31	112	58	2004
Washington St 	-0.6	0-1	0-1	1-2	7	103	59	2004
Kansas St 	-0.7	0-1	0-3	0-1	46	98	60	2004
Iowa St 	-0.9	0-0	0-3	1-0	47	80	61	2004
Northwestern 	-1.1	0-0	2-2	1-2	8	66	62	2004
Marshall 	-1.3	0-0	0-3	0-0	10	77	63	2004
Wyoming 	-1.6	0-1	0-1	1-0	26	92	64	2004
Southern Miss 	-1.6	0-1	0-0	0-1	33	78	65	2004
Navy 	-1.9	0-0	0-0	0-1	22	84	66	2004
UAB 	-2.2	0-0	0-1	0-0	6	68	67	2004
Wake Forest 	-2.5	0-2	0-1	1-1	45	98	68	2004
Toledo 	-2.6	0-0	1-0	0-2	3	116	69	2004
TCU 	-2.9	0-1	0-1	0-0	22	113	70	2004
Kent St 	-3.1	0-0	0-1	0-0	17	105	71	2004
Nebraska 	-3.3	0-1	0-1	1-0	37	77	72	2004
Syracuse 	-3.3	0-0	0-3	1-2	62	117	73	2004
Air Force 	-3.5	0-2	0-0	0-0	67	114	74	2004
Louisiana Tech 	-4.1	0-3	1-0	0-2	19	95	75	2004
Mississippi 	-4.1	0-1	0-1	0-3	32	81	76	2004
Colorado St 	-4.8	0-2	0-0	0-1	46	93	77	2004
San Diego St 	-4.8	0-1	0-1	0-1	50	91	78	2004
Arizona 	-4.9	0-3	1-0	0-3	69	102	79	2004
Indiana 	-5.4	0-0	0-3	1-0	18	80	80	2004
Hawai'i 	-6.8	0-1	0-1	0-1	24	113	81	2004
Vanderbilt 	-7.3	0-0	0-3	0-1	28	105	82	2004
Illinois 	-7.9	0-0	0-3	0-3	36	92	83	2004
Tulsa 	-8.2	0-1	0-1	1-1	21	97	84	2004
Houston 	-8.7	0-3	0-0	0-0	50	104	85	2004
Rutgers 	-8.8	0-0	0-0	0-2	41	114	86	2004
Duke 	-8.8	0-1	0-2	0-1	68	97	87	2004
S Florida 	-8.9	0-1	0-0	0-0	54	96	88	2004
Washington 	-9.2	0-2	0-1	0-4	62	99	89	2004
Mississippi St 	-9.4	0-1	1-1	0-2	20	111	90	2004
Ohio 	-9.4	0-0	0-1	0-0	7	94	91	2004
UNLV 	-9.6	0-1	0-0	0-2	60	105	92	2004
Tulane 	-9.7	0-1	0-0	0-0	73	106	93	2004
Akron 	-9.7	0-0	0-1	0-0	12	114	94	2004
Kentucky 	-9.7	0-2	0-2	0-2	35	101	95	2004
Rice 	-9.8	0-1	0-1	0-1	20	100	96	2004
Middle Tenn 	-10.1	0-0	0-1	0-0	51	97	97	2004
New Mexico St 	-10.5	0-1	0-0	0-2	81	115	98	2004
Nevada 	-10.9	0-1	0-1	0-0	16	101	99	2004
N Texas 	-11.1	0-1	0-0	0-0	82	117	100	2004
Army 	-11.6	0-1	0-0	0-0	55	112	101	2004
Louisiana 	-12.2	0-0	0-0	0-0	71	103	102	2004
Baylor 	-12.3	0-2	1-2	0-0	57	113	103	2004
Temple 	-13.7	0-0	0-2	0-2	86	115	104	2004
UL Monroe 	-14	0-1	0-0	0-1	74	106	105	2004
Utah St 	-14.2	0-1	0-0	0-1	72	110	106	2004
San Jose St 	-15.3	0-1	0-1	0-2	14	113	107	2004
C Michigan 	-15.6	0-0	0-1	0-0	9	110	108	2004
Arkansas St 	-15.7	0-0	0-1	0-0	80	115	109	2004
SMU 	-15.8	0-1	0-3	0-1	25	116	110	2004
E Carolina 	-16.2	0-1	0-0	0-2	68	111	111	2004
UCF 	-16.9	0-0	0-0	0-2	11	113	112	2004
Ball St 	-16.9	0-0	0-2	0-1	2	115	113	2004
E Michigan 	-17.1	0-0	0-2	0-0	5	114	114	2004
Buffalo 	-17.4	0-0	0-0	0-0	7	116	115	2004
W Michigan 	-18.9	0-1	0-1	0-0	1	117	116	2004
Texas 	30.5	3-0	1-0	2-0	1	61	1	2005
USC 	26.3	1-1	2-0	3-0	1	105	2	2005
Ohio St 	19	1-2	3-0	2-0	3	45	3	2005
Virginia Tech 	18.4	1-0	2-1	0-1	2	100	4	2005
Penn St 	16.7	1-0	2-1	4-0	3	50	5	2005
Louisville 	14.4	0-1	0-1	0-1	6	76	6	2005
Texas Tech 	13.9	0-1	1-1	1-0	4	56	7	2005
Notre Dame 	13.6	0-2	1-0	1-1	6	31	8	2005
LSU 	12.3	1-0	3-1	1-0	9	54	9	2005
Auburn 	11.9	0-1	2-1	0-0	9	94	10	2005
Georgia 	11.8	1-1	0-2	1-0	7	30	11	2005
Michigan 	11.5	1-2	1-2	2-1	7	43	12	2005
West Virginia 	11.4	1-1	1-0	1-0	13	115	13	2005
Miami 	10.8	1-1	0-0	3-1	5	108	14	2005
TCU 	10.7	0-0	2-0	0-0	13	69	15	2005
Oregon 	10	0-1	1-1	2-0	4	107	16	2005
Alabama 	9.5	1-2	1-0	0-0	15	32	17	2005
Boston College 	9.4	0-1	0-0	2-1	9	113	18	2005
Wisconsin 	9.3	1-1	2-1	1-0	1	44	19	2005
Fresno St 	9.1	0-1	0-1	2-1	10	54	20	2005
Minnesota 	9	0-2	1-2	3-0	2	40	21	2005
Florida 	8.8	0-1	2-1	1-0	8	36	22	2005
Iowa 	8.6	0-1	2-3	1-0	2	67	23	2005
Oklahoma 	7.6	0-2	1-1	2-1	24	91	24	2005
Iowa St 	7.5	0-0	1-1	1-1	24	106	25	2005
California 	7.2	0-1	0-1	0-1	6	86	26	2005
Florida St 	6.6	1-1	2-1	0-1	14	95	27	2005
Clemson 	6.5	0-0	0-2	2-0	27	109	28	2005
Michigan St 	6.3	1-2	0-2	0-1	3	41	29	2005
Arizona St 	6.3	0-2	0-1	0-1	1	87	30	2005
Tulsa 	5.8	0-0	1-2	0-0	21	117	31	2005
UCLA 	5.4	0-1	1-0	2-0	3	106	32	2005
Boise St 	4.6	0-0	0-3	0-0	15	111	33	2005
S Florida 	4.6	1-1	0-2	0-0	18	82	34	2005
Toledo 	4.5	0-0	0-1	0-1	3	43	35	2005
Purdue 	4.1	0-2	0-3	1-0	18	63	36	2005
N Illinois 	4	0-0	0-1	2-0	4	93	37	2005
Nebraska 	3.2	0-1	2-1	1-0	33	96	38	2005
Miami OH 	3.2	0-1	0-0	0-1	6	99	39	2005
Colorado 	3.1	0-2	0-2	0-2	13	70	40	2005
Northwestern 	2.9	0-2	2-1	3-2	13	70	41	2005
Utah 	2.4	0-0	0-1	0-0	31	108	42	2005
Virginia 	2.4	0-1	1-2	1-0	27	94	43	2005
NC State 	2.2	0-1	0-1	2-1	33	99	44	2005
Texas A&M 	2.2	0-2	0-2	0-2	7	60	45	2005
Tennessee 	2	1-1	0-3	0-0	30	52	46	2005
BYU 	1.9	0-1	0-2	0-1	39	103	47	2005
Southern Miss 	1.9	0-0	0-1	0-1	31	77	48	2005
Maryland 	1.6	0-1	0-2	0-2	36	101	49	2005
Georgia Tech 	1.5	1-1	1-1	1-0	15	110	50	2005
Arkansas 	1.2	0-3	0-2	0-0	33	96	51	2005
Missouri 	1.1	0-1	1-0	1-1	9	57	52	2005
South Carolina 	1.1	0-1	1-2	0-1	8	75	53	2005
Kansas 	0.7	0-2	1-1	1-1	30	79	54	2005
Washington St 	0.7	0-1	0-1	0-3	5	103	55	2005
Navy 	0.5	0-1	0-0	0-0	22	82	56	2005
UConn 	0.5	0-1	0-1	1-0	3	116	57	2005
Pittsburgh 	0.3	0-2	0-1	1-1	42	112	58	2005
Bowling Green 	-0.1	0-0	0-1	1-2	8	92	59	2005
San Diego St 	-0.7	0-1	0-1	0-1	55	108	60	2005
Rutgers 	-0.8	0-1	0-1	0-2	42	114	61	2005
Memphis 	-1.2	0-0	0-0	0-1	53	81	62	2005
Arizona 	-1.3	0-1	0-1	1-3	11	102	63	2005
C Michigan 	-1.8	0-1	0-0	2-1	9	113	64	2005
Stanford 	-2	0-2	0-1	1-2	48	102	65	2005
Kansas St 	-2.2	0-1	0-2	0-2	24	76	66	2005
New Mexico 	-2.2	0-0	0-1	0-0	25	80	67	2005
UAB 	-2.2	0-0	0-0	0-0	29	81	68	2005
UTEP 	-2.3	0-0	0-0	1-1	12	69	69	2005
Louisiana Tech 	-2.5	0-0	1-1	0-1	19	105	70	2005
Wake Forest 	-2.6	0-0	0-2	1-2	63	112	71	2005
UCF 	-2.7	0-0	0-0	0-2	11	111	72	2005
North Carolina 	-2.8	0-2	1-2	0-0	32	98	73	2005
Air Force 	-2.9	0-0	0-1	0-0	35	82	74	2005
Colorado St 	-3.1	0-0	0-2	0-1	36	92	75	2005
Baylor 	-3.1	0-2	1-1	0-1	26	79	76	2005
Vanderbilt 	-3.3	0-1	0-2	0-0	7	83	77	2005
Wyoming 	-3.4	0-0	0-2	0-0	24	95	78	2005
Houston 	-3.5	0-0	0-1	1-0	48	114	79	2005
Nevada 	-4	0-0	1-0	0-1	16	114	80	2005
Oregon St 	-4.2	0-1	0-1	2-2	65	104	81	2005
Akron 	-4.4	0-0	0-0	2-2	12	97	82	2005
Washington 	-4.6	0-2	0-1	0-3	72	109	83	2005
W Michigan 	-5.8	0-0	0-0	0-2	1	107	84	2005
Hawai'i 	-5.9	0-1	0-2	0-2	24	117	85	2005
E Carolina 	-6.1	0-0	0-1	0-1	66	96	86	2005
Middle Tenn 	-6.5	0-0	0-1	0-0	80	103	87	2005
SMU 	-6.6	0-0	1-0	0-1	25	108	88	2005
Indiana 	-7.3	0-1	0-4	0-2	6	90	89	2005
Army 	-7.3	0-0	0-3	0-0	53	109	90	2005
E Michigan 	-7.5	0-0	0-1	0-3	5	98	91	2005
Louisiana 	-8.5	0-1	0-0	0-0	69	119	92	2005
Oklahoma St 	-8.8	1-1	0-2	0-1	56	110	93	2005
Mississippi St 	-9	0-2	0-3	0-0	42	99	94	2005
Mississippi 	-9	0-2	0-1	0-0	32	96	95	2005
Syracuse 	-9	0-2	0-1	0-2	46	117	96	2005
Marshall 	-9.6	0-1	0-0	0-0	10	115	97	2005
Cincinnati 	-10.3	0-2	0-1	0-2	64	110	98	2005
Arkansas St 	-10.6	0-0	0-0	0-0	43	109	99	2005
Kentucky 	-10.6	0-2	0-2	0-0	35	104	100	2005
Ohio 	-12.1	0-1	0-0	0-2	7	106	101	2005
Ball St 	-12.2	0-1	0-2	1-1	2	119	102	2005
Tulane 	-13	0-0	0-0	0-1	54	104	103	2005
Florida Intl 	-13.8	0-1	0-0	0-0	90	118	104	2005
Rice 	-14.4	0-1	0-0	0-2	20	113	105	2005
Troy 	-14.5	0-0	0-0	0-0	68	114	106	2005
Utah St 	-14.7	0-0	0-2	0-1	55	110	107	2005
Illinois 	-14.7	0-2	0-2	0-3	36	109	108	2005
San Jose St 	-14.7	0-0	0-1	0-1	14	113	109	2005
UL Monroe 	-14.9	0-0	0-1	0-0	75	118	110	2005
UNLV 	-15.2	0-0	0-1	0-0	42	112	111	2005
Kent St 	-15.6	0-0	0-0	0-3	17	112	112	2005
Duke 	-17	0-1	0-1	0-2	40	117	113	2005
Florida Atlantic 	-18.5	0-1	0-1	0-0	83	119	115	2005
N Texas 	-19	0-1	0-0	0-1	41	118	116	2005
Buffalo 	-19.1	0-0	0-0	0-2	13	117	117	2005
New Mexico St 	-20.9	0-0	0-1	0-3	78	118	118	2005
Temple 	-25.6	0-0	0-2	0-4	111	119	119	2005
Ohio St 	18.4	1-1	1-0	1-0	1	44	1	2006
Louisville 	18	1-0	0-1	2-0	1	76	2	2006
LSU 	17.2	0-1	2-1	1-0	2	39	3	2006
BYU 	16.3	0-0	1-1	2-0	3	93	4	2006
USC 	16.2	1-0	3-0	2-2	3	105	5	2006
Florida 	15.5	2-0	3-1	2-0	4	36	6	2006
Boise St 	13.8	1-0	1-0	3-0	5	26	7	2006
West Virginia 	13.2	0-1	1-0	2-0	4	115	8	2006
Michigan 	12.9	0-2	1-0	2-0	3	41	9	2006
Hawai'i 	12.8	0-1	0-0	1-1	7	74	10	2006
Texas 	12.8	0-1	3-0	1-1	2	61	11	2006
Oklahoma 	12.4	0-1	2-1	3-1	11	54	12	2006
California 	11.9	0-1	0-1	4-0	7	88	13	2006
Rutgers 	11.6	1-1	0-0	1-0	12	114	14	2006
Clemson 	10.6	0-0	0-3	3-0	3	109	15	2006
TCU 	10.2	0-1	0-0	1-1	15	69	16	2006
Tennessee 	10	0-2	2-1	1-1	11	38	17	2006
Wisconsin 	9.9	0-1	1-0	1-0	11	43	18	2006
Virginia Tech 	9.6	0-0	1-1	1-2	11	100	19	2006
Arkansas 	9.3	0-3	3-1	0-0	20	113	20	2006
Nebraska 	9.3	0-1	0-4	2-0	5	59	21	2006
Auburn 	9.1	2-0	2-1	0-1	3	33	22	2006
South Carolina 	7.2	0-1	1-3	0-1	3	86	23	2006
Boston College 	7.2	1-0	2-0	1-1	8	113	24	2006
Oklahoma St 	6.8	0-0	1-2	0-2	10	56	25	2006
Missouri 	6.5	0-0	0-2	1-2	15	49	26	2006
Notre Dame 	6.4	0-3	0-0	3-0	19	41	27	2006
Pittsburgh 	5.6	0-2	0-1	0-0	6	112	28	2006
Georgia 	5.6	0-1	3-1	1-0	13	50	29	2006
Oregon St 	5.2	2-1	0-1	2-1	9	104	30	2006
Texas Tech 	5.1	0-0	1-3	1-1	8	55	31	2006
Florida St 	4.8	0-1	0-2	1-1	20	95	32	2006
Penn St 	4.7	0-2	1-1	0-1	22	63	33	2006
UCLA 	4.4	1-0	0-1	2-3	18	106	34	2006
Oregon 	4.3	0-2	1-1	1-1	7	107	35	2006
Nevada 	4.3	0-2	0-0	0-0	16	110	36	2006
Texas A&M 	4.3	0-0	2-3	1-1	16	64	37	2006
Utah 	4.2	0-2	1-0	0-1	16	95	38	2006
Wake Forest 	4.1	0-1	1-2	2-0	32	97	39	2006
Georgia Tech 	3.9	0-1	1-1	0-3	33	110	40	2006
Alabama 	3.9	1-2	0-4	0-0	20	52	41	2006
Houston 	3.4	0-0	1-1	0-0	12	62	42	2006
S Florida 	3.1	1-1	0-1	1-0	42	67	43	2006
Arizona St 	2.6	0-2	0-1	1-3	26	113	44	2006
Tulsa 	2.5	0-1	0-0	0-1	10	82	45	2006
Minnesota 	2.5	0-2	0-2	0-2	1	52	46	2006
Southern Miss 	2.5	0-1	0-1	0-0	40	104	47	2006
Cincinnati 	2.3	0-3	1-1	0-1	44	93	48	2006
C Michigan 	1.9	0-1	0-1	0-0	9	111	49	2006
Washington St 	1.9	0-1	0-2	3-0	23	103	50	2006
Navy 	1.4	0-0	0-2	0-1	22	95	51	2006
Iowa 	1.3	0-2	0-2	0-0	29	53	52	2006
Miami 	1.1	0-1	1-1	1-2	34	108	53	2006
Kentucky 	0.4	0-3	1-2	1-0	35	105	54	2006
Arizona 	-0.3	1-2	1-0	1-2	52	102	55	2006
Kansas 	-0.6	0-0	0-2	0-2	51	77	56	2006
Washington 	-0.9	0-1	0-2	1-2	42	88	57	2006
Maryland 	-1.4	0-1	1-1	1-2	50	101	58	2006
E Carolina 	-1.4	0-1	0-0	0-0	50	74	59	2006
Air Force 	-1.5	0-1	0-2	0-2	25	81	60	2006
N Illinois 	-1.6	0-1	0-1	0-0	4	98	61	2006
Kansas St 	-1.6	0-1	2-2	0-1	44	109	62	2006
Wyoming 	-1.8	0-2	0-1	1-0	10	91	63	2006
W Michigan 	-1.8	0-0	0-0	0-1	1	92	64	2006
Vanderbilt 	-2.1	0-2	0-3	1-0	28	94	65	2006
Purdue 	-2.9	0-1	0-1	0-2	48	82	66	2006
San Jose St 	-2.9	0-2	0-0	0-1	14	92	67	2006
Virginia 	-3.2	0-0	0-1	0-3	59	102	68	2006
Ohio 	-3.3	0-0	0-1	0-1	7	82	69	2006
Syracuse 	-3.5	0-2	0-1	0-2	48	117	70	2006
Michigan St 	-3.7	0-2	0-0	1-2	17	73	71	2006
Ball St 	-3.8	0-1	0-0	0-0	2	100	72	2006
SMU 	-4.1	0-0	0-0	0-1	25	113	73	2006
New Mexico 	-4.7	0-1	0-1	1-1	74	115	74	2006
Middle Tenn 	-4.9	0-1	0-2	0-0	60	109	75	2006
UConn 	-5	0-2	0-1	1-1	6	116	76	2006
NC State 	-5.1	0-0	1-1	1-2	72	101	77	2006
Colorado 	-5.4	0-0	0-2	1-2	45	114	78	2006
Mississippi St 	-5.9	0-2	0-3	0-1	42	116	79	2006
Mississippi 	-5.9	0-1	0-2	0-3	32	104	80	2006
UL Monroe 	-6.1	0-0	0-1	0-0	73	115	81	2006
Troy 	-6.1	0-0	0-1	0-2	38	100	82	2006
Fresno St 	-6.2	0-3	0-0	1-1	9	89	83	2006
Marshall 	-6.4	0-1	0-1	0-0	10	107	84	2006
Colorado St 	-6.4	0-1	0-1	0-2	51	92	85	2006
Rice 	-6.8	0-0	0-1	0-2	20	113	86	2006
Akron 	-6.9	0-0	0-0	0-1	12	91	87	2006
Illinois 	-7.4	0-1	0-2	0-1	50	104	88	2006
