,index,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,game_id,favorite_covered
9599,9722,home,away,2020-12-05,6,42,West Virginia,Iowa State,48.0,6.0,E,y,n,-524.776119402985,375,Iowa State_West Virginia,2020-12-5_Iowa State_West Virginia,y
9605,9728,away,home,2020-12-05,69,31,Texas,Kansas State,54.0,7.0,O,y,n,-500,1887.4812030075188,Kansas State_Texas,2020-12-5_Kansas State_Texas,y
9601,9724,home,away,2020-12-05,13,16,Kansas,Texas Tech,64.0,26.5,U,y,n,-340,1400,Kansas_Texas Tech,2020-12-5_Kansas_Texas Tech,n
9581,9704,home,away,2020-12-05,18,41,South Carolina,Kentucky,46.5,11.5,O,y,n,-2000,340,Kentucky_South Carolina,2020-12-5_Kentucky_South Carolina,y
9589,9712,home,away,2020-12-05,20,0,Rice,Marshall,42.5,24.5,U,y,n,-1000,1200,Marshall_Rice,2020-12-5_Marshall_Rice,n
9609,9732,home,away,2020-12-05,21,35,Memphis,Tulane,64.5,3.0,U,y,n,-450,130,Memphis_Tulane,2020-12-5_Memphis_Tulane,y
9582,9705,away,home,2020-12-05,52,12,Ohio State,Michigan State,58.5,22.5,O,n,y,-395.0,922.2727272727273,Michigan State_Ohio State,2020-12-5_Michigan State_Ohio State,y
9610,9733,away,home,2020-12-05,19,6,Tulsa,Navy,45.0,12.0,U,y,n,-411.86206896551727,430.82758620689657,Navy_Tulsa,2020-12-5_Navy_Tulsa,y
9583,9706,home,away,2020-12-05,37,27,Nebraska,Purdue,64.0,1.5,E,y,n,-500,100,Nebraska_Purdue,2020-12-5_Nebraska_Purdue,n
9607,9730,away,home,2020-12-05,16,17,Wyoming,New Mexico,51.5,16.0,U,n,y,-650,240,New Mexico_Wyoming,2020-12-5_New Mexico_Wyoming,n
9602,9725,away,home,2020-12-05,41,24,Toledo,Northern Illinois,53.5,9.5,O,y,n,-378.86538461538464,437.7307692307692,Northern Illinois_Toledo,2020-12-5_Northern Illinois_Toledo,y
9594,9717,home,away,2020-12-05,21,45,Syracuse,Notre Dame,51.0,33.5,O,y,n,-725.0,6250.0,Notre Dame_Syracuse,2020-12-5_Notre Dame_Syracuse,n
9598,9721,away,home,2020-12-05,22,29,Oklahoma State,TCU,53.0,2.5,U,y,n,-378.39325842696627,412.0,Oklahoma State_TCU,2020-12-5_Oklahoma State_TCU,n
9591,9714,home,away,2020-12-05,24,30,Oregon State,Utah,51.0,14.0,O,y,n,-360,450,Oregon State_Utah,2020-12-5_Oregon State_Utah,n
9584,9707,away,home,2020-12-05,23,7,Penn State,Rutgers,51.5,13.5,U,y,n,-448.22222222222223,1511.4888888888888,Penn State_Rutgers,2020-12-5_Penn State_Rutgers,y
9611,9734,away,home,2020-12-05,29,0,Troy,South Alabama,54.5,4.0,U,y,n,-175,800,South Alabama_Troy,2020-12-5_South Alabama_Troy,y
9595,9718,home,away,2020-12-05,31,26,Stanford,Washington,50.0,11.5,O,y,n,-495.29411764705884,200,Stanford_Washington,2020-12-5_Stanford_Washington,n
9619,9743,home,away,2020-12-06,37,19,Western Kentucky,Charlotte,47.0,3.0,O,y,n,-276.2142857142857,695.625,Charlotte_Western Kentucky,2020-12-6_Charlotte_Western Kentucky,n
9618,9742,home,away,2020-12-06,13,38,Washington State,USC,68.5,12.5,U,y,n,-628.1851851851852,130,USC_Washington State,2020-12-6_USC_Washington State,y
9180,9300,home,away,2020-09-10,14,31,UAB,Miami FL,55.0,14.5,U,y,n,-730.8421052631579,1190,Miami FL_UAB,2020-9-10_Miami FL_UAB,y
9182,9302,home,away,2020-09-12,20,35,Charlotte,Appalachian State,59.5,17.0,U,y,n,-620.0,377,Appalachian State_Charlotte,2020-9-12_Appalachian State_Charlotte,n
9192,9312,home,away,2020-09-12,35,31,Arkansas State,Kansas State,54.5,14.5,O,y,n,-407,472,Arkansas State_Kansas State,2020-9-12_Arkansas State_Kansas State,n
9188,9308,home,away,2020-09-12,7,37,Louisiana Monroe,Army,53.5,24.0,U,y,n,-1007.78125,373,Army_Louisiana Monroe,2020-9-12_Army_Louisiana Monroe,y
9186,9306,away,home,2020-09-12,37,13,Clemson,Wake Forest,58.0,34.5,U,n,y,-11375,892,Clemson_Wake Forest,2020-9-12_Clemson_Wake Forest,n
9184,9304,home,away,2020-09-12,38,23,Coastal Carolina,Kansas,55.5,4.5,O,y,n,-309.2950819672131,389,Coastal Carolina_Kansas,2020-9-12_Coastal Carolina_Kansas,n
9187,9307,home,away,2020-09-12,13,27,Duke,Notre Dame,52.0,21.5,U,y,n,-1153.3333333333333,1057.8,Duke_Notre Dame,2020-9-12_Duke_Notre Dame,n
9195,9315,home,away,2020-09-12,26,27,FCS,Georgia Southern,57.5,29.0,U,y,n,-4525.0,1705.0,FCS_Georgia Southern,2020-9-12_FCS_Georgia Southern,n
9197,9317,home,away,2020-09-12,0,48,FCS,Oklahoma,72.0,47.0,U,y,n,-110.0,50000.0,FCS_Oklahoma,2020-9-12_FCS_Oklahoma,y
9196,9316,home,away,2020-09-12,0,55,FCS,Pittsburgh,48.5,30.5,O,y,n,-4873.333333333333,55900,FCS_Pittsburgh,2020-9-12_FCS_Pittsburgh,y
9191,9311,home,away,2020-09-12,51,48,FCS,Texas State,57.0,5.5,O,y,n,-404.5111111111111,991.0444444444445,FCS_Texas State,2020-9-12_FCS_Texas State,n
9194,9314,home,away,2020-09-12,10,56,FCS,West Virginia,58.5,41.5,O,y,n,-110.0,3887,FCS_West Virginia,2020-9-12_FCS_West Virginia,y
9183,9303,home,away,2020-09-12,16,13,Georgia Tech,Florida State,50.0,12.5,U,y,n,-628.1851851851852,429.48148148148147,Florida State_Georgia Tech,2020-9-12_Florida State_Georgia Tech,n
9189,9309,home,away,2020-09-12,31,14,Louisiana Lafayette,Iowa State,56.5,12.0,U,y,n,-411.86206896551727,430.82758620689657,Iowa State_Louisiana Lafayette,2020-9-12_Iowa State_Louisiana Lafayette,n
9185,9305,home,away,2020-09-12,21,35,Western Kentucky,Louisville,55.0,13.0,O,y,n,-462.03125,577.53125,Louisville_Western Kentucky,2020-9-12_Louisville_Western Kentucky,y
9181,9301,home,away,2020-09-12,6,31,Syracuse,North Carolina,66.5,23.5,U,y,n,-1360.6666666666667,1017.0,North Carolina_Syracuse,2020-9-12_North Carolina_Syracuse,y
9193,9313,away,home,2020-09-12,27,24,Tulane,South Alabama,51.5,11.0,U,y,n,-377.4,748.5,South Alabama_Tulane,2020-9-12_South Alabama_Tulane,n
9190,9310,home,away,2020-09-12,3,59,UTEP,Texas,56.0,44.5,O,y,n,-54000.0,183,Texas_UTEP,2020-9-12_Texas_UTEP,y
9198,9319,home,away,2020-09-18,21,43,FCS,Coastal Carolina,60.0,28.0,O,y,n,-1864.1538461538462,2040.3846153846155,Coastal Carolina_FCS,2020-9-18_Coastal Carolina_FCS,n
9204,9325,away,home,2020-09-19,7,17,Appalachian State,Marshall,59.5,5.5,U,y,n,-404.5111111111111,991.0444444444445,Appalachian State_Marshall,2020-9-19_Appalachian State_Marshall,n
9201,9322,home,away,2020-09-19,26,6,Boston College,Duke,49.5,4.0,U,y,n,-135,158,Boston College_Duke,2020-9-19_Boston College_Duke,n
9200,9321,away,home,2020-09-19,49,21,FCS,Georgia Tech,63.5,9.5,O,y,n,-378.86538461538464,437.7307692307692,FCS_Georgia Tech,2020-9-19_FCS_Georgia Tech,y
9210,9331,home,away,2020-09-19,0,52,FCS,Notre Dame,49.0,23.0,O,y,n,-566.0769230769231,1060.8461538461538,FCS_Notre Dame,2020-9-19_FCS_Notre Dame,y
