,index,full_date,spread,ou,ou_total,home,away,match_key,game_id,home_score,away_score,fav_side,dog_side,favorite_covered,spread_away_cover,spread_home_cover,ml_fav,ml_dog
1197,1203,2024-09-07,5.5,U,53.5,San Diego State,Oregon State,Oregon State_San Diego State,2024-09-07_Oregon State_San Diego State,0,21,home,away,n,y,n,-404.5111111111111,991.0444444444445
1510,1517,2024-09-07,2.5,O,58.5,Texas State,UTSA,Texas State_UTSA,2024-09-07_Texas State_UTSA,49,10,away,home,n,n,y,-378.39325842696627,412.0
1354,1360,2024-09-07,2.5,U,65.5,Washington State,Texas Tech,Texas Tech_Washington State,2024-09-07_Texas Tech_Washington State,37,16,home,away,y,n,y,-378.39325842696627,412.0
1447,1454,2024-09-07,31.5,U,64.5,USC,Utah State,USC_Utah State,2024-09-07_USC_Utah State,48,0,home,away,y,n,y,-2723.75,4868.75
1532,1539,2024-09-07,1.0,O,55.5,Wake Forest,Virginia,Virginia_Wake Forest,2024-09-07_Virginia_Wake Forest,30,31,home,away,n,y,n,-180.61666666666667,415.98333333333335
101,101,2024-09-12,3.0,U,59.5,Texas State,Arizona State,Arizona State_Texas State,2024-09-12_Arizona State_Texas State,28,31,away,home,n,n,y,-276.2142857142857,695.625
83,83,2024-09-13,7.0,U,60.5,Kansas State,Arizona,Arizona_Kansas State,2024-09-13_Arizona_Kansas State,31,7,away,home,n,n,y,-470.5263157894737,1887.4812030075188
1424,1431,2024-09-13,9.0,U,57.5,Kansas,UNLV,Kansas_UNLV,2024-09-13_Kansas_UNLV,20,23,away,home,n,n,y,-311.2972972972973,422.86486486486484
1,1,2024-09-14,17.0,U,40.5,Baylor,Air Force,Air Force_Baylor,2024-09-14_Air Force_Baylor,31,3,away,home,n,n,y,-620.0,635.2702702702703
43,43,2024-09-14,14.5,O,47.0,Wisconsin,Alabama,Alabama_Wisconsin,2024-09-14_Alabama_Wisconsin,10,42,home,away,n,y,n,-730.8421052631579,496.3421052631579
63,63,2024-09-14,1.0,U,58.5,East Carolina,Appalachian State,Appalachian State_East Carolina,2024-09-14_Appalachian State_East Carolina,19,21,home,away,n,y,n,-180.61666666666667,415.98333333333335
134,134,2024-09-14,21.5,U,47.5,Michigan,Arkansas State,Arkansas State_Michigan,2024-09-14_Arkansas State_Michigan,28,18,away,home,n,y,n,-1153.3333333333333,1057.8
